GPS_X	|	GPS_Y		|	Euler_phi		|	Euler_psi		|	Euler_theta	|	Acc_forward	|	Acc_sideways	|	Acc_up	|	Gyro 1	|	Gyro 2	|	Gyro 3	|	Mag_forward	|	Mag_sideways	|	Mag_up	|	Music_Track
382.0	|	275.0	|	3.157048936	|	4.357349333	|	-14.20794694	|	-0.78	|	0.371	|	0.538	|	12.479	|	8.173	|	8.173	|	0.855	|	0.117	|	0.347	|	0.0
385.0	|	272.0	|	3.211897741	|	4.424457492	|	-14.17080044	|	-0.774	|	0.356	|	0.548	|	9.351	|	7.044	|	7.044	|	0.84	|	0.12	|	0.389	|	0.0
386.0	|	269.0	|	3.262805263	|	4.490227084	|	-14.13496168	|	-0.784	|	0.364	|	0.547	|	8.248	|	6.731	|	6.731	|	0.852	|	0.123	|	0.354	|	0.0
386.0	|	269.0	|	3.311887204	|	4.553328005	|	-14.10092403	|	-0.798	|	0.364	|	0.555	|	8.064	|	5.978	|	5.978	|	0.849	|	0.099	|	0.373	|	0.0
386.0	|	269.0	|	3.355705966	|	4.610869367	|	-14.07414375	|	-0.783	|	0.345	|	0.566	|	6.898	|	4.411	|	4.411	|	0.85	|	0.115	|	0.354	|	0.0
386.0	|	269.0	|	3.390422847	|	4.658210516	|	-14.05845765	|	-0.78	|	0.34	|	0.593	|	4.998	|	1.59	|	1.59	|	0.831	|	0.104	|	0.391	|	0.0
386.0	|	267.0	|	3.41414028	|	4.701808058	|	-14.04661344	|	-0.759	|	0.345	|	0.626	|	2.054	|	0.65	|	0.65	|	0.838	|	0.11	|	0.375	|	0.0
399.0	|	258.0	|	3.420123809	|	4.748561964	|	-14.03111377	|	-0.762	|	0.325	|	0.626	|	-2.177	|	1.402	|	1.402	|	0.843	|	0.1	|	0.394	|	0.0
403.0	|	255.0	|	3.411976315	|	4.794444139	|	-14.01749591	|	-0.78	|	0.327	|	0.571	|	-5.856	|	1.151	|	1.151	|	0.846	|	0.109	|	0.37	|	0.0
401.0	|	251.0	|	3.406947921	|	4.835510327	|	-14.00966836	|	-0.816	|	0.356	|	0.51	|	-5.182	|	-0.103	|	-0.103	|	0.835	|	0.112	|	0.382	|	0.0
401.0	|	247.0	|	3.412667482	|	4.872307267	|	-14.0079171	|	-0.843	|	0.384	|	0.476	|	-2.729	|	-1.168	|	-1.168	|	0.847	|	0.143	|	0.359	|	0.0
405.0	|	249.0	|	3.420127205	|	4.90401649	|	-14.01037574	|	-0.83	|	0.383	|	0.472	|	-2.054	|	-2.547	|	-2.547	|	0.846	|	0.115	|	0.385	|	0.0
407.0	|	251.0	|	3.428412768	|	4.923935097	|	-14.02740444	|	-0.808	|	0.385	|	0.479	|	-1.87	|	-5.682	|	-5.682	|	0.847	|	0.147	|	0.356	|	0.0
408.0	|	253.0	|	3.438428362	|	4.93370415	|	-14.0547573	|	-0.773	|	0.396	|	0.465	|	-1.441	|	-8.315	|	-8.315	|	0.831	|	0.136	|	0.377	|	0.0
410.0	|	255.0	|	3.441933202	|	4.936759528	|	-14.09017698	|	-0.763	|	0.379	|	0.444	|	-2.851	|	-10.196	|	-10.196	|	0.852	|	0.143	|	0.354	|	0.0
410.0	|	258.0	|	3.434467967	|	4.935577214	|	-14.13027514	|	-0.779	|	0.35	|	0.431	|	-4.936	|	-11.575	|	-11.575	|	0.841	|	0.118	|	0.392	|	0.0
413.0	|	259.0	|	3.41560797	|	4.931704075	|	-14.17633997	|	-0.798	|	0.311	|	0.418	|	-7.389	|	-12.515	|	-12.515	|	0.855	|	0.156	|	0.368	|	0.0
409.0	|	261.0	|	3.392423485	|	4.922944532	|	-14.2267478	|	-0.795	|	0.252	|	0.419	|	-7.328	|	-14.082	|	-14.082	|	0.85	|	0.109	|	0.396	|	0.0
409.0	|	262.0	|	3.371915871	|	4.911558957	|	-14.28271939	|	-0.776	|	0.177	|	0.449	|	-5.733	|	-15.023	|	-15.023	|	0.843	|	0.138	|	0.352	|	0.0
410.0	|	262.0	|	3.348158398	|	4.904635203	|	-14.33509677	|	-0.766	|	0.102	|	0.518	|	-5.488	|	-13.957	|	-13.957	|	0.838	|	0.151	|	0.375	|	0.0
411.0	|	262.0	|	3.31045215	|	4.90451985	|	-14.37982253	|	-0.767	|	0.011	|	0.613	|	-7.696	|	-12.076	|	-12.076	|	0.843	|	0.152	|	0.354	|	0.0
413.0	|	261.0	|	3.252292837	|	4.905874136	|	-14.4218181	|	-0.77	|	-0.088	|	0.666	|	-11.314	|	-11.387	|	-11.387	|	0.838	|	0.147	|	0.384	|	0.0
418.0	|	263.0	|	3.181070783	|	4.90224359	|	-14.46989719	|	-0.788	|	-0.149	|	0.636	|	-13.889	|	-12.578	|	-12.578	|	0.837	|	0.159	|	0.351	|	0.0
422.0	|	264.0	|	3.110851766	|	4.899176537	|	-14.51625183	|	-0.846	|	-0.227	|	0.575	|	-12.908	|	-12.139	|	-12.139	|	0.84	|	0.151	|	0.377	|	0.0
422.0	|	266.0	|	3.053931194	|	4.899134135	|	-14.55841764	|	-0.885	|	-0.296	|	0.554	|	-9.045	|	-11.073	|	-11.073	|	0.856	|	0.152	|	0.354	|	0.0
422.0	|	269.0	|	3.010097693	|	4.897725606	|	-14.6029535	|	-0.886	|	-0.282	|	0.589	|	-5.795	|	-11.512	|	-11.512	|	0.831	|	0.162	|	0.373	|	0.0
424.0	|	271.0	|	2.985948321	|	4.901317612	|	-14.64345489	|	-0.913	|	-0.173	|	0.651	|	-2.177	|	-10.635	|	-10.635	|	0.847	|	0.17	|	0.358	|	0.0
425.0	|	273.0	|	2.986274427	|	4.928744452	|	-14.65740827	|	-0.933	|	-0.077	|	0.715	|	2.422	|	-4.428	|	-4.428	|	0.826	|	0.16	|	0.377	|	0.0
427.0	|	275.0	|	2.999087704	|	4.9798389	|	-14.64533843	|	-0.882	|	-0.042	|	0.766	|	4.63	|	1.903	|	1.903	|	0.837	|	0.17	|	0.342	|	0.0
428.0	|	275.0	|	2.99600393	|	5.046782463	|	-14.61494565	|	-0.852	|	-0.094	|	0.799	|	1.012	|	6.354	|	6.354	|	0.84	|	0.169	|	0.366	|	0.0
